区域类型,图纸区域名称,区域优先级,字段名称,code,数据类型,字段优先级,别名,字段类型,字段描述,字段值处理方式,是否为主键,枚举值
参数表,基本参数表,重要,入口接管外径,RKJGWJ,区间和数值,重要,尺寸,阀门属性,入口接管外径，mm,字段值需要标准化,非主键,
参数表,基本参数表,重要,入口接管外径,RKJGWJ,区间和数值,重要,接管尺寸,阀门属性,入口接管外径，mm,字段值需要标准化,非主键,
参数表,基本参数表,重要,入口接管外径,RKJGWJ,区间和数值,重要,接管尺寸（外径×壁厚）,阀门属性,入口接管外径，mm,字段值需要标准化,非主键,
参数表,基本参数表,重要,入口接管外径,RKJGWJ,区间和数值,重要,进出口管径,阀门属性,入口接管外径，mm,字段值需要标准化,非主键,
参数表,基本参数表,重要,入口接管外径,RKJGWJ,区间和数值,重要,进口管号,阀门属性,入口接管外径，mm,字段值需要标准化,非主键,
参数表,基本参数表,重要,入口接管材料,RKJGCL,字符串,重要,上游接管材质,阀门属性,入口接管材料牌号,字段值无需标准化,非主键,
参数表,基本参数表,重要,入口接管材料,RKJGCL,字符串,重要,出口管道材料,阀门属性,入口接管材料牌号,字段值无需标准化,非主键,
参数表,基本参数表,重要,入口接管材料,RKJGCL,字符串,重要,接管材质,阀门属性,入口接管材料牌号,字段值无需标准化,非主键,
参数表,基本参数表,重要,入口接管材料,RKJGCL,字符串,重要,材料,阀门属性,入口接管材料牌号,字段值无需标准化,非主键,
参数表,基本参数表,重要,入口接管材料,RKJGCL,字符串,重要,管道接管材质,阀门属性,入口接管材料牌号,字段值无需标准化,非主键,
参数表,基本参数表,重要,出口接管壁厚,CKJGBH,区间和数值,重要,下游接管,阀门属性,出口接管壁厚(mm),字段值需要标准化,非主键,
参数表,基本参数表,重要,出口接管壁厚,CKJGBH,区间和数值,重要,出口接管壁厚(mm),阀门属性,出口接管壁厚(mm),字段值需要标准化,非主键,
参数表,基本参数表,重要,出口接管壁厚,CKJGBH,区间和数值,重要,出口管号,阀门属性,出口接管壁厚(mm),字段值需要标准化,非主键,
参数表,基本参数表,重要,出口接管壁厚,CKJGBH,区间和数值,重要,出口管道尺寸,阀门属性,出口接管壁厚(mm),字段值需要标准化,非主键,
参数表,基本参数表,重要,出口接管壁厚,CKJGBH,区间和数值,重要,出口管道接管规格,阀门属性,出口接管壁厚(mm),字段值需要标准化,非主键,
参数表,基本参数表,重要,出口接管壁厚,CKJGBH,区间和数值,重要,尺寸,阀门属性,出口接管壁厚(mm),字段值需要标准化,非主键,
参数表,基本参数表,重要,出口接管壁厚,CKJGBH,区间和数值,重要,接管尺寸,阀门属性,出口接管壁厚(mm),字段值需要标准化,非主键,
参数表,基本参数表,重要,出口接管壁厚,CKJGBH,区间和数值,重要,接管尺寸（外径×壁厚）,阀门属性,出口接管壁厚(mm),字段值需要标准化,非主键,
参数表,基本参数表,重要,出口接管壁厚,CKJGBH,区间和数值,重要,进出口管径,阀门属性,出口接管壁厚(mm),字段值需要标准化,非主键,
参数表,基本参数表,重要,出口接管外径,CKJGWJ,区间和数值,重要,下游接管,阀门属性,出口接管外径，mm,字段值需要标准化,非主键,
参数表,基本参数表,重要,出口接管外径,CKJGWJ,区间和数值,重要,出口接管外径(mm),阀门属性,出口接管外径，mm,字段值需要标准化,非主键,
参数表,基本参数表,重要,出口接管外径,CKJGWJ,区间和数值,重要,出口管号,阀门属性,出口接管外径，mm,字段值需要标准化,非主键,
参数表,基本参数表,重要,出口接管外径,CKJGWJ,区间和数值,重要,出口管道尺寸,阀门属性,出口接管外径，mm,字段值需要标准化,非主键,
参数表,基本参数表,重要,出口接管外径,CKJGWJ,区间和数值,重要,出口管道接管规格,阀门属性,出口接管外径，mm,字段值需要标准化,非主键,
参数表,基本参数表,重要,出口接管外径,CKJGWJ,区间和数值,重要,尺寸,阀门属性,出口接管外径，mm,字段值需要标准化,非主键,
参数表,基本参数表,重要,出口接管外径,CKJGWJ,区间和数值,重要,接管尺寸,阀门属性,出口接管外径，mm,字段值需要标准化,非主键,
参数表,基本参数表,重要,出口接管外径,CKJGWJ,区间和数值,重要,接管尺寸（外径×壁厚）,阀门属性,出口接管外径，mm,字段值需要标准化,非主键,
参数表,基本参数表,重要,出口接管外径,CKJGWJ,区间和数值,重要,进出口管径,阀门属性,出口接管外径，mm,字段值需要标准化,非主键,
参数表,基本参数表,重要,出口接管材料,CKJGCL,字符串,重要,下游接管材质,阀门属性,出口接管材料牌号,字段值无需标准化,非主键,
参数表,基本参数表,重要,出口接管材料,CKJGCL,字符串,重要,出口管道材料,阀门属性,出口接管材料牌号,字段值无需标准化,非主键,
参数表,基本参数表,重要,出口接管材料,CKJGCL,字符串,重要,接管材质,阀门属性,出口接管材料牌号,字段值无需标准化,非主键,
参数表,基本参数表,重要,出口接管材料,CKJGCL,字符串,重要,材料,阀门属性,出口接管材料牌号,字段值无需标准化,非主键,
参数表,基本参数表,重要,出口接管材料,CKJGCL,字符串,重要,管道接管材质,阀门属性,出口接管材料牌号,字段值无需标准化,非主键,
参数表,基本参数表,重要,运行维修手册编号,YXWXSCBH,文件编码,重要,EOMM,图纸属性,19位编码，无字母I，最后四位为45SS,字段值需要标准化,,
参数表,基本参数表,重要,阀门安装方向,FMAZFX,字符串,一般,阀门安装方式,图纸属性,阀门安装要求,字段值无需标准化,,
参数表,基本参数表,重要,阀门整机重量,FMZJZX,区间和数值,一般,重量,图纸属性,,字段值无需标准化,,
参数表,基本参数表,重要,阀门整机重量,FMZJZX,区间和数值,一般,阀门重量,图纸属性,,字段值无需标准化,,
参数表,基本参数表,重要,阀门本体重量,FMBTZL,区间和数值,一般,整阀重量,图纸属性,,字段值无需标准化,,
参数表,基本参数表,重要,阀门本体重量,FMBTZL,区间和数值,一般,质量,图纸属性,,字段值无需标准化,,
参数表,基本参数表,重要,阀门本体重量,FMBTZL,区间和数值,一般,重量,图纸属性,,字段值无需标准化,,
参数表,手动装置参数,不重要,手动装置传动效率,SDZZCDXL,区间和数值,不重要,传动效率,图纸属性,,字段值无需标准化,,
参数表,手动装置参数,不重要,手动装置传动比,SDZZCDB,字符串,不重要,传动比,图纸属性,,字段值无需标准化,,
参数表,手动装置参数,不重要,手动装置型号,SDZZXH,字符串,不重要,型号,图纸属性,,字段值无需标准化,,
参数表,手动装置参数,不重要,手动装置生产厂家,SDZZSCCJ,字符串,不重要,生产厂家,图纸属性,,字段值无需标准化,,
参数表,手动装置参数,不重要,手动装置重量,SDZZZL,区间和数值,不重要,手动装置重量（kg）,图纸属性,,字段值无需标准化,,
参数表,手动装置参数,不重要,手动装置重量,SDZZZL,区间和数值,不重要,重量（kg）,图纸属性,,字段值无需标准化,,
参数表,手动装置参数,不重要,手轮直径,SLZJ,区间和数值,不重要,手轮直径,图纸属性,,字段值无需标准化,,
参数表,手动装置参数,不重要,额定扭矩,EDNJ,区间和数值,不重要,额定扭矩,图纸属性,,字段值无需标准化,,
参数表,技术性能参数表,重要,中法兰螺母拧紧力矩,ZFLLMNJLJ,区间和数值,不重要,中法兰螺母拧紧力矩,图纸属性,,字段值无需标准化,,
参数表,技术性能参数表,重要,主体材料,ZTCL,字符串,不重要,阀体材料,图纸属性,,字段值无需标准化,,
参数表,技术性能参数表,重要,主体材料,ZTCL,字符串,不重要,阀体材质,图纸属性,,字段值无需标准化,,
参数表,技术性能参数表,重要,供货抗震分类,GHKZFL,枚举,重要,供货抗震分类,阀门属性,厂家提供的抗震等级,字段值需要标准化,非主键,"[{""cn"": ""抗震1类"", ""en"": ""SSE1""}, {""cn"": ""抗震2类"", ""en"": ""SSE2""}, {""cn"": ""无强制抗震要求"", ""en"": ""NO""}, {""cn"": ""相互作用类"", ""en"": ""相互作用类""}]"
参数表,技术性能参数表,重要,供货抗震要求,GHKZYQ,枚举,重要,供货抗震要求,阀门属性,厂家提供的抗震分类,字段值需要标准化,非主键,"[{""cn"": ""可运行性"", ""en"": ""O""}, {""cn"": ""完整性"", ""en"": ""I""}, {""cn"": ""功能容量"", ""en"": ""F""}, {""cn"": ""稳定性"", ""en"": ""S""}, {""cn"": ""无要求"", ""en"": ""NO""}]"
参数表,技术性能参数表,重要,保持关闭最大反向压差,BCGBZDFXYC,区间和数值,重要,保持关闭最大反向压差（MPa.g）,阀门属性,,字段值需要标准化,,
参数表,技术性能参数表,重要,保持关闭最大反向压差,BCGBZDFXYC,区间和数值,重要,保持关闭最大反向压差（MPa）,阀门属性,,字段值需要标准化,,
参数表,技术性能参数表,重要,保持关闭最大正向压差,BCGBZDZXYC,区间和数值,重要,保持关闭最大正向压差（MPa.g）,阀门属性,,字段值需要标准化,,
参数表,技术性能参数表,重要,保持关闭最大正向压差,BCGBZDZXYC,区间和数值,重要,保持关闭最大正向压差（MPa）,阀门属性,,字段值需要标准化,,
参数表,技术性能参数表,重要,允许累积压力,YXLJYL,区间和数值,重要,允许累积压力（KPa(g)）,阀门属性,,字段值需要标准化,,
参数表,技术性能参数表,重要,允许累积压力下的最小流量,YXLJYLXDZLL,区间和数值,重要,允许累积压力下的最小流量（Nm³/h）,阀门属性,,字段值需要标准化,,
参数表,技术性能参数表,重要,允许阀座泄漏率,YXFZXLL,枚举,重要,允许的外泄漏率,阀门属性,,字段值需要标准化,,"[{""cn"": """", ""en"": ""I""}, {""cn"": """", ""en"": ""II""}, {""cn"": """", ""en"": ""III""}, {""cn"": """", ""en"": ""IV""}, {""cn"": """", ""en"": ""V""}, {""cn"": """", ""en"": ""VI""}, {""cn"": """", ""en"": ""0""}]"
参数表,技术性能参数表,重要,允许阀座泄漏率,YXFZXLL,枚举,重要,泄漏等级,阀门属性,,字段值需要标准化,,"[{""cn"": """", ""en"": ""I""}, {""cn"": """", ""en"": ""II""}, {""cn"": """", ""en"": ""III""}, {""cn"": """", ""en"": ""IV""}, {""cn"": """", ""en"": ""V""}, {""cn"": """", ""en"": ""VI""}, {""cn"": """", ""en"": ""0""}]"
参数表,技术性能参数表,重要,允许阀座泄漏率,YXFZXLL,枚举,重要,泄漏等级（执行标准）,阀门属性,,字段值需要标准化,,"[{""cn"": """", ""en"": ""I""}, {""cn"": """", ""en"": ""II""}, {""cn"": """", ""en"": ""III""}, {""cn"": """", ""en"": ""IV""}, {""cn"": """", ""en"": ""V""}, {""cn"": """", ""en"": ""VI""}, {""cn"": """", ""en"": ""0""}]"
参数表,技术性能参数表,重要,允许阀座泄漏率,YXFZXLL,枚举,重要,阀座泄漏率,阀门属性,,字段值需要标准化,,"[{""cn"": """", ""en"": ""I""}, {""cn"": """", ""en"": ""II""}, {""cn"": """", ""en"": ""III""}, {""cn"": """", ""en"": ""IV""}, {""cn"": """", ""en"": ""V""}, {""cn"": """", ""en"": ""VI""}, {""cn"": """", ""en"": ""0""}]"
参数表,技术性能参数表,重要,允许阀座泄漏率,YXFZXLL,枚举,重要,阀座泄漏等级,阀门属性,,字段值需要标准化,,"[{""cn"": """", ""en"": ""I""}, {""cn"": """", ""en"": ""II""}, {""cn"": """", ""en"": ""III""}, {""cn"": """", ""en"": ""IV""}, {""cn"": """", ""en"": ""V""}, {""cn"": """", ""en"": ""VI""}, {""cn"": """", ""en"": ""0""}]"
参数表,技术性能参数表,重要,公称压力,GCYL,区间和数值,不重要,CL,图纸属性,,字段值无需标准化,,
参数表,技术性能参数表,重要,公称压力,GCYL,区间和数值,不重要,压力等级,图纸属性,,字段值无需标准化,,
参数表,技术性能参数表,重要,公称压力,GCYL,区间和数值,不重要,压力级,图纸属性,,字段值无需标准化,,
参数表,技术性能参数表,重要,关闭力矩,GBLJ,区间和数值,不重要,开关力矩,图纸属性,,字段值无需标准化,,
参数表,技术性能参数表,重要,关闭力矩,GBLJ,区间和数值,不重要,阀门关闭扭矩,图纸属性,,字段值无需标准化,,
参数表,技术性能参数表,重要,关闭力矩,GBLJ,区间和数值,不重要,阀门启闭扭矩,图纸属性,,字段值无需标准化,,
参数表,技术性能参数表,重要,初始背压,CSBY,区间和数值,重要,初始背压（MPa.g）,阀门属性,阀门开启前背压,字段值需要标准化,,
参数表,技术性能参数表,重要,初始背压,CSBY,区间和数值,重要,运行背压,阀门属性,阀门开启前背压,字段值需要标准化,,
参数表,技术性能参数表,重要,初始背压,CSBY,区间和数值,重要,附加背压,阀门属性,阀门开启前背压,字段值需要标准化,,
参数表,技术性能参数表,重要,初始背压,CSBY,区间和数值,重要,附加背压（MPa.g）,阀门属性,阀门开启前背压,字段值需要标准化,,
参数表,技术性能参数表,重要,功能物项分级（可运行性）,GNWXFJ_KYXX,枚举,重要,功能分级,阀门属性,,字段值需要标准化,非主键,"[{""cn"": ""功能安全1级"", ""en"": ""F-SC1""}, {""cn"": ""功能安全2级"", ""en"": ""F-SC2""}, {""cn"": ""功能安全3级"", ""en"": ""F-SC3""}, {""cn"": ""非安全级"", ""en"": ""NC""}]"
参数表,技术性能参数表,重要,功能物项分级（可运行性）,GNWXFJ_KYXX,枚举,重要,功能安全分级（可运行性）,阀门属性,,字段值需要标准化,非主键,"[{""cn"": ""功能安全1级"", ""en"": ""F-SC1""}, {""cn"": ""功能安全2级"", ""en"": ""F-SC2""}, {""cn"": ""功能安全3级"", ""en"": ""F-SC3""}, {""cn"": ""非安全级"", ""en"": ""NC""}]"
参数表,技术性能参数表,重要,功能物项分级（可运行性）,GNWXFJ_KYXX,枚举,重要,功能物项分级,阀门属性,,字段值需要标准化,非主键,"[{""cn"": ""功能安全1级"", ""en"": ""F-SC1""}, {""cn"": ""功能安全2级"", ""en"": ""F-SC2""}, {""cn"": ""功能安全3级"", ""en"": ""F-SC3""}, {""cn"": ""非安全级"", ""en"": ""NC""}]"
参数表,技术性能参数表,重要,功能物项分级（可运行性）,GNWXFJ_KYXX,枚举,重要,功能物项分级（O）,阀门属性,,字段值需要标准化,非主键,"[{""cn"": ""功能安全1级"", ""en"": ""F-SC1""}, {""cn"": ""功能安全2级"", ""en"": ""F-SC2""}, {""cn"": ""功能安全3级"", ""en"": ""F-SC3""}, {""cn"": ""非安全级"", ""en"": ""NC""}]"
参数表,技术性能参数表,重要,功能物项分级（完整性）,GNWXFJ_WZX,枚举,重要,功能分级,阀门属性,,字段值需要标准化,非主键,"[{""cn"": ""功能安全1级"", ""en"": ""F-SC1""}, {""cn"": ""功能安全2级"", ""en"": ""F-SC2""}, {""cn"": ""功能安全3级"", ""en"": ""F-SC3""}, {""cn"": ""非安全级"", ""en"": ""NC""}]"
参数表,技术性能参数表,重要,功能物项分级（完整性）,GNWXFJ_WZX,枚举,重要,功能安全分级（完整性）,阀门属性,,字段值需要标准化,非主键,"[{""cn"": ""功能安全1级"", ""en"": ""F-SC1""}, {""cn"": ""功能安全2级"", ""en"": ""F-SC2""}, {""cn"": ""功能安全3级"", ""en"": ""F-SC3""}, {""cn"": ""非安全级"", ""en"": ""NC""}]"
参数表,技术性能参数表,重要,功能物项分级（完整性）,GNWXFJ_WZX,枚举,重要,功能物项分级,阀门属性,,字段值需要标准化,非主键,"[{""cn"": ""功能安全1级"", ""en"": ""F-SC1""}, {""cn"": ""功能安全2级"", ""en"": ""F-SC2""}, {""cn"": ""功能安全3级"", ""en"": ""F-SC3""}, {""cn"": ""非安全级"", ""en"": ""NC""}]"
参数表,技术性能参数表,重要,功能物项分级（完整性）,GNWXFJ_WZX,枚举,重要,功能物项分级（I）,阀门属性,,字段值需要标准化,非主键,"[{""cn"": ""功能安全1级"", ""en"": ""F-SC1""}, {""cn"": ""功能安全2级"", ""en"": ""F-SC2""}, {""cn"": ""功能安全3级"", ""en"": ""F-SC3""}, {""cn"": ""非安全级"", ""en"": ""NC""}]"
参数表,技术性能参数表,重要,回座压力,HZYL,区间和数值,重要,回座压力（KPa(g)）,阀门属性,,字段值需要标准化,,
参数表,技术性能参数表,重要,回座压力,HZYL,区间和数值,重要,回座压力（MPa.g）,阀门属性,,字段值需要标准化,,
参数表,技术性能参数表,重要,失效安全位置,SSAQWZ,枚举,重要,安全位置,阀门属性,在失去动力源或控制信号时，阀门所处的位置：,字段值需要标准化,非主键,"[{""cn"": ""开"", ""en"": ""O""}, {""cn"": ""关"", ""en"": ""C""}, {""cn"": ""保持原位/保位/保持/维持原位"", ""en"": ""AS IS""}]"
参数表,技术性能参数表,重要,失效安全位置,SSAQWZ,枚举,重要,故障位置,阀门属性,在失去动力源或控制信号时，阀门所处的位置：,字段值需要标准化,非主键,"[{""cn"": ""开"", ""en"": ""O""}, {""cn"": ""关"", ""en"": ""C""}, {""cn"": ""保持原位/保位/保持/维持原位"", ""en"": ""AS IS""}]"
参数表,技术性能参数表,重要,密封压力,MFYL,区间和数值,不重要,密封压力,图纸属性,,字段值无需标准化,,
参数表,技术性能参数表,重要,屏障物项分级,PZWXFJ,枚举,重要,屏障分级,阀门属性,对应物项的设计预防措施，定义其屏障分级,字段值需要标准化,非主键,"[{""cn"": ""屏障安全1级"", ""en"": ""B-SC1""}, {""cn"": ""屏障安全2级"", ""en"": ""B-SC2""}, {""cn"": ""屏障安全3级"", ""en"": ""B-SC3""}, {""cn"": ""灾害安全3级"", ""en"": ""Z-SC3""}, {""cn"": ""有特殊要求的非安全级"", ""en"": ""NC+""}, {""cn"": ""非安全级"", ""en"": ""NC""}]"
参数表,技术性能参数表,重要,屏障物项分级,PZWXFJ,枚举,重要,屏障安全分级,阀门属性,对应物项的设计预防措施，定义其屏障分级,字段值需要标准化,非主键,"[{""cn"": ""屏障安全1级"", ""en"": ""B-SC1""}, {""cn"": ""屏障安全2级"", ""en"": ""B-SC2""}, {""cn"": ""屏障安全3级"", ""en"": ""B-SC3""}, {""cn"": ""灾害安全3级"", ""en"": ""Z-SC3""}, {""cn"": ""有特殊要求的非安全级"", ""en"": ""NC+""}, {""cn"": ""非安全级"", ""en"": ""NC""}]"
参数表,技术性能参数表,重要,屏障物项分级,PZWXFJ,枚举,重要,屏障安全分级,阀门属性,对应物项的设计预防措施，定义其屏障分级,字段值需要标准化,非主键,"[{""cn"": ""屏障安全1级"", ""en"": ""B-SC1""}, {""cn"": ""屏障安全2级"", ""en"": ""B-SC2""}, {""cn"": ""屏障安全3级"", ""en"": ""B-SC3""}, {""cn"": ""灾害安全3级"", ""en"": ""Z-SC3""}, {""cn"": ""有特殊要求的非安全级"", ""en"": ""NC+""}, {""cn"": ""非安全级"", ""en"": ""NC""}]"
参数表,技术性能参数表,重要,工作压力,GZYL,区间和数值,不重要,工作压力,图纸属性,,字段值无需标准化,,
参数表,技术性能参数表,重要,工作温度,GZWD,区间和数值,不重要,工作温度,图纸属性,,字段值无需标准化,,
参数表,技术性能参数表,重要,开启力矩,KQLJ,区间和数值,不重要,开关力矩,图纸属性,,字段值无需标准化,,
参数表,技术性能参数表,重要,开启力矩,KQLJ,区间和数值,不重要,阀门启闭扭矩,图纸属性,,字段值无需标准化,,
参数表,技术性能参数表,重要,开启力矩,KQLJ,区间和数值,不重要,阀门开启扭矩,图纸属性,,字段值无需标准化,,
参数表,技术性能参数表,重要,开启圈数,KQQS,字符串,不重要,开启圈数,图纸属性,,字段值无需标准化,,
参数表,技术性能参数表,重要,开启高度,KQGD,区间和数值,不重要,开启高度,图纸属性,,字段值无需标准化,,
参数表,技术性能参数表,重要,手动操作力（中间过程）,SDCZL_ZJGC,区间和数值,不重要,手动操作力（中间过程）,图纸属性,,字段值无需标准化,,
参数表,技术性能参数表,重要,手动操作力（启闭瞬间）,SDCZL_QBSJ,区间和数值,不重要,手动操作力（启闭瞬间）,图纸属性,,字段值无需标准化,,
参数表,技术性能参数表,重要,抗震分类,KZFL,枚举,重要,抗震类别,阀门属性,定义物项的抗震分类,字段值需要标准化,非主键,"[{""cn"": ""抗震1类"", ""en"": ""SSE1""}, {""cn"": ""抗震2类"", ""en"": ""SSE2""}, {""cn"": ""无强制抗震要求"", ""en"": ""NO""}, {""cn"": ""相互作用类"", ""en"": ""相互作用类""}]"
参数表,技术性能参数表,重要,抗震分类,KZFL,枚举,重要,采购抗震分类,阀门属性,定义物项的抗震分类,字段值需要标准化,非主键,"[{""cn"": ""抗震1类"", ""en"": ""SSE1""}, {""cn"": ""抗震2类"", ""en"": ""SSE2""}, {""cn"": ""无强制抗震要求"", ""en"": ""NO""}, {""cn"": ""相互作用类"", ""en"": ""相互作用类""}]"
参数表,技术性能参数表,重要,抗震要求,KZYQ,枚举,重要,抗震等级,阀门属性,定义物项的抗震等级,字段值需要标准化,非主键,"[{""cn"": ""可运行性"", ""en"": ""O""}, {""cn"": ""完整性"", ""en"": ""I""}, {""cn"": ""功能容量"", ""en"": ""F""}, {""cn"": ""稳定性"", ""en"": ""S""}, {""cn"": ""无要求"", ""en"": ""NO""}]"
参数表,技术性能参数表,重要,抗震要求,KZYQ,枚举,重要,采购抗震要求,阀门属性,定义物项的抗震等级,字段值需要标准化,非主键,"[{""cn"": ""可运行性"", ""en"": ""O""}, {""cn"": ""完整性"", ""en"": ""I""}, {""cn"": ""功能容量"", ""en"": ""F""}, {""cn"": ""稳定性"", ""en"": ""S""}, {""cn"": ""无要求"", ""en"": ""NO""}]"
参数表,技术性能参数表,重要,排量系数,PLXS,区间和数值,不重要,排量系数,图纸属性,,字段值无需标准化,,
参数表,技术性能参数表,重要,整定压力,ZDYL,区间和数值,重要,整定压力（KPa(g)）,阀门属性,,字段值需要标准化,,
参数表,技术性能参数表,重要,整定压力,ZDYL,区间和数值,重要,整定压力（MPa.g）,阀门属性,,字段值需要标准化,,
参数表,技术性能参数表,重要,最大允许手轮操作力,ZDYXSLCZL,区间和数值,不重要,最大允许手轮操作力,图纸属性,,字段值无需标准化,,
参数表,技术性能参数表,重要,最大允许排放流量,ZDYXPFLL,区间和数值,重要,最大允许排放流量（m³/h）,阀门属性,,字段值需要标准化,,
参数表,技术性能参数表,重要,最大启闭压差,ZDQBYC,区间和数值,重要,启闭压差,阀门属性,阀门开启或者关闭时的最大压差,字段值需要标准化,非主键,
参数表,技术性能参数表,重要,最大启闭压差,ZDQBYC,区间和数值,重要,开/关最大压差,阀门属性,阀门开启或者关闭时的最大压差,字段值需要标准化,非主键,
参数表,技术性能参数表,重要,最大启闭压差,ZDQBYC,区间和数值,重要,开启或关闭最大压差,阀门属性,阀门开启或者关闭时的最大压差,字段值需要标准化,非主键,
参数表,技术性能参数表,重要,最大启闭压差,ZDQBYC,区间和数值,重要,阀门开启或者关闭时的最大压差,阀门属性,阀门开启或者关闭时的最大压差,字段值需要标准化,非主键,
参数表,技术性能参数表,重要,最大启闭压差,ZDQBYC,区间和数值,重要,阀门开启或者关闭时的最大压差（MPa）,阀门属性,阀门开启或者关闭时的最大压差,字段值需要标准化,非主键,
参数表,技术性能参数表,重要,最大释放压力,ZDSFYL,区间和数值,重要,最大运行压力,阀门属性,,字段值需要标准化,,
参数表,技术性能参数表,重要,最大释放压力,ZDSFYL,区间和数值,重要,最大释放压力（Mpa.g）,阀门属性,,字段值需要标准化,,
参数表,技术性能参数表,重要,最大释放压力下的排放流量,ZDSFYLXDPFLL,区间和数值,重要,最大释放压力下的排放流量（m³/h）或（Nm³/h）,阀门属性,,字段值需要标准化,,
参数表,技术性能参数表,重要,最大释放压力下阀门进口温度,ZDSFYLXFMJKWD,区间和数值,重要,最大运行温度,阀门属性,,字段值需要标准化,,
